year;city;party;federal_election;tourist;tourist_foreign;share_foreign_tourist;unemployment;population;migrants;share_migrants;share_youth;share_old;pupils_school;pupils_gymn;share_gymn;Hochschule;uni;HE_total;total_students;votes;place_list;incumbent;woman;doctor;CDU;SPD;Grüne;FDP;Linke;AfD;share_students;share_pupils;FW;local_list;federal_trend;federal_result;Name_total;job;Age;votes_pred_old;Partei;Piraten;Tierschutzpartei;prof;aristocracy;double_name;muslim_migrant;non_muslim_migrant;google;federal_difference;youth_list;green_alt_list;time;google_stan;BD;first_time
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1705;24;0;0;1;0;0;0;0;0;1;0;0;0;0;5;4.7; Walter Jens  Zeller;;;;0;0;0;0;0;0;0;0;28000;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1109;33;0;1;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Barbara Dannfeld;;;;0;0;0;0;0;0;0;0;2;0;0;0;1;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1372;38;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Ralf Michael Flaig;;;;0;0;0;0;0;0;0;0;15;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1079;47;0;1;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Vanessa Meyer;;;;0;0;0;0;0;0;0;0;59;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1849;18;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Werner Horsch;;;;0;0;0;0;0;0;0;0;18;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;2217;11;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Dominic  Köckeritz;;;;0;0;0;0;0;0;0;0;23;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1097;39;0;1;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Karoline  Hering;;;;0;0;0;0;0;0;0;0;7310;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;4281;2;0;1;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Anja Markmann;;;;0;0;0;0;0;0;0;0;81;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1202;31;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Pascal Bell;;;;0;0;0;0;0;0;0;0;9;0;0;0;1;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1193;23;0;1;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Renate  Hörburger;;;;0;0;0;0;0;0;0;0;61;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;3243;8;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Thomas  Entenmann;;;;0;0;0;0;0;0;0;0;10600;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1097;44;0;1;1;0;0;0;0;0;1;0;0;0;0;5;4.7; Cornelia Degeratu;;;;0;0;0;0;0;0;0;1;6;0;0;0;1;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1256;32;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Siegfried  Rakow;;;;0;0;0;0;0;0;0;0;3310;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;2173;16;0;0;1;0;0;0;0;0;1;0;0;0;0;5;4.7; Hans-Joachim  Bülow;;;;0;0;0;0;0;1;0;0;9490;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;2629;9;0;0;1;0;0;0;0;0;1;0;0;0;0;5;4.7; Klaus  Horlacher;;;;0;0;0;0;0;0;0;0;9690;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1057;41;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Manfred  Striehl;;;;0;0;0;0;0;0;0;0;64;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1254;17;0;1;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Alice Blanck;Redakteurin i.R.;63;;0;0;0;0;0;0;0;0;18000;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1407;37;0;0;1;0;0;0;0;0;1;0;0;0;0;5;4.7; Ulrich Frenzel;;;;0;0;0;0;0;0;0;0;24;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1011;27;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Heiko  Holzmann;;;;0;0;0;0;0;0;0;0;10900;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;2225;13;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Sebastian  Gohr;;;;0;0;0;0;0;0;0;0;14000;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1064;40;0;1;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Helga  Striehl;;;;0;0;0;0;0;0;0;0;33;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1011;35;0;1;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Marlene  Glock;;;;0;0;0;0;0;0;0;0;16600;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1573;22;0;0;1;0;0;0;0;0;1;0;0;0;0;5;4.7; Robert  Lang;;;;0;0;0;0;0;0;0;0;184000;0;0;0;2;1;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1122;48;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Markus  Zemke;;;;0;0;0;0;0;0;0;0;4340;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;3258;4;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Sven  Geschinski;;;;0;0;0;0;0;0;0;0;35;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;3572;6;0;0;1;0;0;0;0;0;1;0;0;0;0;5;4.7; Helmut  Loch;;;;0;0;0;0;0;0;0;0;32200;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1084;42;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Urs Lautner;;;;0;0;0;0;0;0;0;0;5;0;0;0;1;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1315;28;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Lars Patrick  Berg;;;;0;0;0;0;0;0;0;0;54700;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1112;45;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Sebastian  Szimonisz;;;;0;0;0;0;0;0;0;1;7;0;0;0;1;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;2788;12;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Dirk-Oliver  Müller;;;;0;0;0;0;0;1;0;0;94;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1376;19;0;1;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Elke  Schönwetter-Stoll;;;;0;0;0;0;0;1;0;0;8;0;0;0;1;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;2271;15;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Heiko  Horn;;;;0;0;0;0;0;0;0;0;45300;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;4001;3;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Fabian  Dequis;;;;0;0;0;0;0;0;0;0;42;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;2492;10;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Bernhard Sauff;;;;0;0;0;0;0;0;0;0;3;0;0;0;1;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;6648;1;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Matthias  Niebel;;;;0;0;0;0;0;0;0;0;24900;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1106;43;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Oliver Vollmer;;;;0;0;0;0;0;0;0;0;37;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1941;20;0;0;1;0;0;0;0;0;1;0;0;0;0;5;4.7; Manfred  Hanke;;;;0;0;0;0;0;0;0;0;32600;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;3032;5;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Bernhard Schuh;;;;0;0;0;0;0;0;0;0;24;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1533;36;0;1;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Theresa  Hartl;;;;0;0;0;0;0;0;0;0;11400;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1810;14;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Wilhelm Wabel;;;;0;0;0;0;0;0;0;0;2;0;0;0;1;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1258;25;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Urban Roth;;;;0;0;0;0;0;0;0;0;48000;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;997;30;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Herbert  Kollenz;;;;0;0;0;0;0;0;0;0;76;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1179;29;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Marcus  Dannfeld;;;;0;0;0;0;0;0;0;0;19;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;3005;7;0;0;1;0;0;0;0;0;1;0;0;0;0;5;4.7; Klaus  Blanck;;;;0;0;0;0;0;0;0;0;14800;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1289;46;0;1;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Lisbeth  Erler;;;;0;0;0;0;0;0;0;0;7150;0;0;0;2;0;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1091;34;0;0;0;0;0;0;0;0;1;0;0;0;0;5;4.7; Michael  Till;;;;0;0;0;0;0;0;0;0;182000;0;0;0;2;1;;1
2014;Heidelberg;AfD;5;1217200;492041;0;5;154715;28494;0;24;24;14835;6238;0;6;1;7;36902;1585;26;0;0;1;0;0;0;0;0;1;0;0;0;0;5;4.7; Florian  Föhlisch;;;;0;0;0;0;0;0;0;0;593;0;0;0;2;0;;1
