Stimmen,Name,Partei,Wahlbezirk,Wahlbezirk ID,Stadt,Stadt_id,Kreis_id
398.0,Graber,CDU,Flachsbleiche Sperberstr,FlachsbleicheSperberstr,Kaarst,5162016.0,62
228.0,Kühl,SPD,Flachsbleiche Sperberstr,FlachsbleicheSperberstr,Kaarst,5162016.0,62
104.0,Link-Schnitzler,GRÜNE,Flachsbleiche Sperberstr,FlachsbleicheSperberstr,Kaarst,5162016.0,62
55.0,Zachel,FDP,Flachsbleiche Sperberstr,FlachsbleicheSperberstr,Kaarst,5162016.0,62
36.0,Kraft,UWG Kaarst,Flachsbleiche Sperberstr,FlachsbleicheSperberstr,Kaarst,5162016.0,62
25.0,Theberath,ZENTRUM,Flachsbleiche Sperberstr,FlachsbleicheSperberstr,Kaarst,5162016.0,62
47.0,Altinli,DIE LINKE,Flachsbleiche Sperberstr,FlachsbleicheSperberstr,Kaarst,5162016.0,62
44.0,Rausch,AfD,Flachsbleiche Sperberstr,FlachsbleicheSperberstr,Kaarst,5162016.0,62
24.0,Friedländer,PIRATEN,Flachsbleiche Sperberstr,FlachsbleicheSperberstr,Kaarst,5162016.0,62
495.0,Treger,CDU,Karlsforster Str.Jahnstr,Karlsforster_StrJahnstr,Kaarst,5162016.0,62
156.0,Palmen,SPD,Karlsforster Str.Jahnstr,Karlsforster_StrJahnstr,Kaarst,5162016.0,62
153.0,Jens,GRÜNE,Karlsforster Str.Jahnstr,Karlsforster_StrJahnstr,Kaarst,5162016.0,62
62.0,Zhang,FDP,Karlsforster Str.Jahnstr,Karlsforster_StrJahnstr,Kaarst,5162016.0,62
28.0,Zippelius,UWG Kaarst,Karlsforster Str.Jahnstr,Karlsforster_StrJahnstr,Kaarst,5162016.0,62
18.0,Sohn,ZENTRUM,Karlsforster Str.Jahnstr,Karlsforster_StrJahnstr,Kaarst,5162016.0,62
15.0,Pauen,PIRATEN,Karlsforster Str.Jahnstr,Karlsforster_StrJahnstr,Kaarst,5162016.0,62
352.0,Thönißen,CDU,Altes Dorf,Altes_Dorf,Kaarst,5162016.0,62
129.0,Lempke,SPD,Altes Dorf,Altes_Dorf,Kaarst,5162016.0,62
83.0,Köppe,GRÜNE,Altes Dorf,Altes_Dorf,Kaarst,5162016.0,62
58.0,Ramirez Ziegler,FDP,Altes Dorf,Altes_Dorf,Kaarst,5162016.0,62
20.0,Klukas,UWG Kaarst,Altes Dorf,Altes_Dorf,Kaarst,5162016.0,62
34.0,Hebben,ZENTRUM,Altes Dorf,Altes_Dorf,Kaarst,5162016.0,62
25.0,Altunlu,DIE LINKE,Altes Dorf,Altes_Dorf,Kaarst,5162016.0,62
24.0,Peter,AfD,Altes Dorf,Altes_Dorf,Kaarst,5162016.0,62
16.0,Specht,PIRATEN,Altes Dorf,Altes_Dorf,Kaarst,5162016.0,62
383.0,Zelleröhr,CDU,Broicherseite Am Hoverkamp,BroicherseiteAm_Hoverkamp,Kaarst,5162016.0,62
152.0,Kuhlmeier,SPD,Broicherseite Am Hoverkamp,BroicherseiteAm_Hoverkamp,Kaarst,5162016.0,62
67.0,Wieland,GRÜNE,Broicherseite Am Hoverkamp,BroicherseiteAm_Hoverkamp,Kaarst,5162016.0,62
40.0,Dr. Thywissen,FDP,Broicherseite Am Hoverkamp,BroicherseiteAm_Hoverkamp,Kaarst,5162016.0,62
16.0,Dr. Klukas,UWG Kaarst,Broicherseite Am Hoverkamp,BroicherseiteAm_Hoverkamp,Kaarst,5162016.0,62
14.0,Mönch,ZENTRUM,Broicherseite Am Hoverkamp,BroicherseiteAm_Hoverkamp,Kaarst,5162016.0,62
23.0,Brunstein,DIE LINKE,Broicherseite Am Hoverkamp,BroicherseiteAm_Hoverkamp,Kaarst,5162016.0,62
31.0,Peter,AfD,Broicherseite Am Hoverkamp,BroicherseiteAm_Hoverkamp,Kaarst,5162016.0,62
22.0,Skopp,PIRATEN,Broicherseite Am Hoverkamp,BroicherseiteAm_Hoverkamp,Kaarst,5162016.0,62
392.0,Sülzenfuß,CDU,Broicherdorf,Broicherdorf,Kaarst,5162016.0,62
193.0,Jakob,SPD,Broicherdorf,Broicherdorf,Kaarst,5162016.0,62
115.0,Christoph,GRÜNE,Broicherdorf,Broicherdorf,Kaarst,5162016.0,62
57.0,Vogel,FDP,Broicherdorf,Broicherdorf,Kaarst,5162016.0,62
34.0,Zippelius,UWG Kaarst,Broicherdorf,Broicherdorf,Kaarst,5162016.0,62
20.0,Pfaar,ZENTRUM,Broicherdorf,Broicherdorf,Kaarst,5162016.0,62
39.0,Keser,DIE LINKE,Broicherdorf,Broicherdorf,Kaarst,5162016.0,62
45.0,Straus,AfD,Broicherdorf,Broicherdorf,Kaarst,5162016.0,62
17.0,Eibich,PIRATEN,Broicherdorf,Broicherdorf,Kaarst,5162016.0,62
388.0,Ladeck,CDU,Eichendorffstr Am Bisgeshof,EichendorffstrAm_Bisgeshof,Kaarst,5162016.0,62
138.0,Kühl,SPD,Eichendorffstr Am Bisgeshof,EichendorffstrAm_Bisgeshof,Kaarst,5162016.0,62
119.0,Dr. Wrobel,GRÜNE,Eichendorffstr Am Bisgeshof,EichendorffstrAm_Bisgeshof,Kaarst,5162016.0,62
69.0,Boestfleisch,FDP,Eichendorffstr Am Bisgeshof,EichendorffstrAm_Bisgeshof,Kaarst,5162016.0,62
42.0,Tückmantel,UWG Kaarst,Eichendorffstr Am Bisgeshof,EichendorffstrAm_Bisgeshof,Kaarst,5162016.0,62
29.0,Schmitz,ZENTRUM,Eichendorffstr Am Bisgeshof,EichendorffstrAm_Bisgeshof,Kaarst,5162016.0,62
29.0,Rosemann,DIE LINKE,Eichendorffstr Am Bisgeshof,EichendorffstrAm_Bisgeshof,Kaarst,5162016.0,62
12.0,Saitzek,PIRATEN,Eichendorffstr Am Bisgeshof,EichendorffstrAm_Bisgeshof,Kaarst,5162016.0,62
447.0,Kotzian,CDU,Windvogt Martinusstr,WindvogtMartinusstr,Kaarst,5162016.0,62
124.0,Ekici,SPD,Windvogt Martinusstr,WindvogtMartinusstr,Kaarst,5162016.0,62
112.0,Markert,GRÜNE,Windvogt Martinusstr,WindvogtMartinusstr,Kaarst,5162016.0,62
57.0,Kischkat,FDP,Windvogt Martinusstr,WindvogtMartinusstr,Kaarst,5162016.0,62
16.0,Bieker,UWG Kaarst,Windvogt Martinusstr,WindvogtMartinusstr,Kaarst,5162016.0,62
19.0,Becht,ZENTRUM,Windvogt Martinusstr,WindvogtMartinusstr,Kaarst,5162016.0,62
