Stimmen,Name,Partei,Wahlbezirk,Wahlbezirk ID,Stadt,Incumbent
398.0,Graber,CDU,FlachsbleicheSperberstr,FlachsbleicheSperberstr,Kaarst,1.0
228.0,Kühl,SPD,FlachsbleicheSperberstr,FlachsbleicheSperberstr,Kaarst,0.0
104.0,Link-Schnitzler,GRÜNE,FlachsbleicheSperberstr,FlachsbleicheSperberstr,Kaarst,0.0
55.0,Zachel,FDP,FlachsbleicheSperberstr,FlachsbleicheSperberstr,Kaarst,1.0
36.0,Kraft,UWG Kaarst,FlachsbleicheSperberstr,FlachsbleicheSperberstr,Kaarst,0.0
25.0,Theberath,ZENTRUM,FlachsbleicheSperberstr,FlachsbleicheSperberstr,Kaarst,0.0
47.0,Altinli,DIE LINKE,FlachsbleicheSperberstr,FlachsbleicheSperberstr,Kaarst,0.0
44.0,Rausch,AfD,FlachsbleicheSperberstr,FlachsbleicheSperberstr,Kaarst,1.0
24.0,Friedländer,PIRATEN,FlachsbleicheSperberstr,FlachsbleicheSperberstr,Kaarst,0.0
495.0,Treger,CDU,Karlsforster_StrJahnstr,Karlsforster_StrJahnstr,Kaarst,1.0
156.0,Palmen,SPD,Karlsforster_StrJahnstr,Karlsforster_StrJahnstr,Kaarst,0.0
153.0,Jens,GRÜNE,Karlsforster_StrJahnstr,Karlsforster_StrJahnstr,Kaarst,0.0
62.0,Zhang,FDP,Karlsforster_StrJahnstr,Karlsforster_StrJahnstr,Kaarst,0.0
28.0,Zippelius,UWG Kaarst,Karlsforster_StrJahnstr,Karlsforster_StrJahnstr,Kaarst,0.0
18.0,Sohn,ZENTRUM,Karlsforster_StrJahnstr,Karlsforster_StrJahnstr,Kaarst,0.0
15.0,Pauen,PIRATEN,Karlsforster_StrJahnstr,Karlsforster_StrJahnstr,Kaarst,0.0
352.0,Thönißen,CDU,Altes_Dorf,Altes_Dorf,Kaarst,1.0
129.0,Lempke,SPD,Altes_Dorf,Altes_Dorf,Kaarst,0.0
83.0,Köppe,GRÜNE,Altes_Dorf,Altes_Dorf,Kaarst,1.0
58.0,Ramirez Ziegler,FDP,Altes_Dorf,Altes_Dorf,Kaarst,0.0
20.0,Klukas,UWG Kaarst,Altes_Dorf,Altes_Dorf,Kaarst,0.0
34.0,Hebben,ZENTRUM,Altes_Dorf,Altes_Dorf,Kaarst,0.0
25.0,Altunlu,DIE LINKE,Altes_Dorf,Altes_Dorf,Kaarst,0.0
24.0,Peter,AfD,Altes_Dorf,Altes_Dorf,Kaarst,0.0
16.0,Specht,PIRATEN,Altes_Dorf,Altes_Dorf,Kaarst,0.0
383.0,Zelleröhr,CDU,BroicherseiteAm_Hoverkamp,BroicherseiteAm_Hoverkamp,Kaarst,1.0
152.0,Kuhlmeier,SPD,BroicherseiteAm_Hoverkamp,BroicherseiteAm_Hoverkamp,Kaarst,1.0
67.0,Wieland,GRÜNE,BroicherseiteAm_Hoverkamp,BroicherseiteAm_Hoverkamp,Kaarst,0.0
40.0,Dr. Thywissen,FDP,BroicherseiteAm_Hoverkamp,BroicherseiteAm_Hoverkamp,Kaarst,1.0
16.0,Dr. Klukas,UWG Kaarst,BroicherseiteAm_Hoverkamp,BroicherseiteAm_Hoverkamp,Kaarst,1.0
14.0,Mönch,ZENTRUM,BroicherseiteAm_Hoverkamp,BroicherseiteAm_Hoverkamp,Kaarst,0.0
23.0,Brunstein,DIE LINKE,BroicherseiteAm_Hoverkamp,BroicherseiteAm_Hoverkamp,Kaarst,0.0
31.0,Peter,AfD,BroicherseiteAm_Hoverkamp,BroicherseiteAm_Hoverkamp,Kaarst,0.0
22.0,Skopp,PIRATEN,BroicherseiteAm_Hoverkamp,BroicherseiteAm_Hoverkamp,Kaarst,0.0
392.0,Sülzenfuß,CDU,Broicherdorf,Broicherdorf,Kaarst,1.0
193.0,Jakob,SPD,Broicherdorf,Broicherdorf,Kaarst,0.0
115.0,Christoph,GRÜNE,Broicherdorf,Broicherdorf,Kaarst,0.0
57.0,Vogel,FDP,Broicherdorf,Broicherdorf,Kaarst,0.0
34.0,Zippelius,UWG Kaarst,Broicherdorf,Broicherdorf,Kaarst,0.0
20.0,Pfaar,ZENTRUM,Broicherdorf,Broicherdorf,Kaarst,0.0
39.0,Keser,DIE LINKE,Broicherdorf,Broicherdorf,Kaarst,0.0
45.0,Straus,AfD,Broicherdorf,Broicherdorf,Kaarst,0.0
17.0,Eibich,PIRATEN,Broicherdorf,Broicherdorf,Kaarst,0.0
388.0,Ladeck,CDU,EichendorffstrAm_Bisgeshof,EichendorffstrAm_Bisgeshof,Kaarst,1.0
138.0,Kühl,SPD,EichendorffstrAm_Bisgeshof,EichendorffstrAm_Bisgeshof,Kaarst,0.0
119.0,Dr. Wrobel,GRÜNE,EichendorffstrAm_Bisgeshof,EichendorffstrAm_Bisgeshof,Kaarst,0.0
69.0,Boestfleisch,FDP,EichendorffstrAm_Bisgeshof,EichendorffstrAm_Bisgeshof,Kaarst,0.0
42.0,Tückmantel,UWG Kaarst,EichendorffstrAm_Bisgeshof,EichendorffstrAm_Bisgeshof,Kaarst,0.0
29.0,Schmitz,ZENTRUM,EichendorffstrAm_Bisgeshof,EichendorffstrAm_Bisgeshof,Kaarst,0.0
29.0,Rosemann,DIE LINKE,EichendorffstrAm_Bisgeshof,EichendorffstrAm_Bisgeshof,Kaarst,1.0
12.0,Saitzek,PIRATEN,EichendorffstrAm_Bisgeshof,EichendorffstrAm_Bisgeshof,Kaarst,0.0
447.0,Kotzian,CDU,WindvogtMartinusstr,WindvogtMartinusstr,Kaarst,0.0
124.0,Ekici,SPD,WindvogtMartinusstr,WindvogtMartinusstr,Kaarst,1.0
112.0,Markert,GRÜNE,WindvogtMartinusstr,WindvogtMartinusstr,Kaarst,0.0
57.0,Kischkat,FDP,WindvogtMartinusstr,WindvogtMartinusstr,Kaarst,0.0
