Stimmen;Name;Partei;Wahlbezirk;Wahlbezirk ID;Stadt;Incumbent;Wahlbezirk_ID
39800;Graber;CDU;Flachsbleiche Sperberstr;1;Kaarst;1;1
22800;Kühl;SPD;Flachsbleiche Sperberstr;1;Kaarst;0;1
10400;Link-Schnitzler;GRÜNE;Flachsbleiche Sperberstr;1;Kaarst;0;1
5500;Zachel;FDP;Flachsbleiche Sperberstr;1;Kaarst;1;1
3600;Kraft;UWG Kaarst;Flachsbleiche Sperberstr;1;Kaarst;0;1
2500;Theberath;ZENTRUM;Flachsbleiche Sperberstr;1;Kaarst;0;1
4700;Altinli;DIE LINKE;Flachsbleiche Sperberstr;1;Kaarst;0;1
4400;Rausch;AfD;Flachsbleiche Sperberstr;1;Kaarst;1;1
2400;Friedländer;PIRATEN;Flachsbleiche Sperberstr;1;Kaarst;0;1
49500;Treger;CDU;Karlsforster Str Jahnstr;2;Kaarst;1;2
15600;Palmen;SPD;Karlsforster Str Jahnstr;2;Kaarst;0;2
15300;Jens;GRÜNE;Karlsforster Str Jahnstr;2;Kaarst;0;2
6200;Zhang;FDP;Karlsforster Str Jahnstr;2;Kaarst;0;2
2800;Zippelius;UWG Kaarst;Karlsforster Str Jahnstr;2;Kaarst;0;2
1800;Sohn;ZENTRUM;Karlsforster Str Jahnstr;2;Kaarst;0;2
1500;Pauen;PIRATEN;Karlsforster Str Jahnstr;2;Kaarst;0;2
35200;Thönißen;CDU;Altes Dorf;3;Kaarst;1;3
12900;Lempke;SPD;Altes Dorf;3;Kaarst;0;3
8300;Köppe;GRÜNE;Altes Dorf;3;Kaarst;1;3
5800;Ramirez Ziegler;FDP;Altes Dorf;3;Kaarst;0;3
2000;Klukas;UWG Kaarst;Altes Dorf;3;Kaarst;0;3
3400;Hebben;ZENTRUM;Altes Dorf;3;Kaarst;0;3
2500;Altunlu;DIE LINKE;Altes Dorf;3;Kaarst;0;3
2400;Peter;AfD;Altes Dorf;3;Kaarst;0;3
1600;Specht;PIRATEN;Altes Dorf;3;Kaarst;0;3
38300;Zelleröhr;CDU;Broicherseite Am Hoverkamp;4;Kaarst;1;4
15200;Kuhlmeier;SPD;Broicherseite Am Hoverkamp;4;Kaarst;1;4
6700;Wieland;GRÜNE;Broicherseite Am Hoverkamp;4;Kaarst;0;4
4000;Dr. Thywissen;FDP;Broicherseite Am Hoverkamp;4;Kaarst;1;4
1600;Dr. Klukas;UWG Kaarst;Broicherseite Am Hoverkamp;4;Kaarst;1;4
1400;Mönch;ZENTRUM;Broicherseite Am Hoverkamp;4;Kaarst;0;4
2300;Brunstein;DIE LINKE;Broicherseite Am Hoverkamp;4;Kaarst;0;4
3100;Peter;AfD;Broicherseite Am Hoverkamp;4;Kaarst;0;4
2200;Skopp;PIRATEN;Broicherseite Am Hoverkamp;4;Kaarst;0;4
39200;Sülzenfuß;CDU;Broicherdorf;5;Kaarst;1;5
19300;Jakob;SPD;Broicherdorf;5;Kaarst;0;5
11500;Christoph;GRÜNE;Broicherdorf;5;Kaarst;0;5
5700;Vogel;FDP;Broicherdorf;5;Kaarst;0;5
3400;Zippelius;UWG Kaarst;Broicherdorf;5;Kaarst;0;5
2000;Pfaar;ZENTRUM;Broicherdorf;5;Kaarst;0;5
3900;Keser;DIE LINKE;Broicherdorf;5;Kaarst;0;5
4500;Straus;AfD;Broicherdorf;5;Kaarst;0;5
1700;Eibich;PIRATEN;Broicherdorf;5;Kaarst;0;5
38800;Ladeck;CDU;Eichendorffstr Am Bisgeshof;6;Kaarst;1;6
13800;Kühl;SPD;Eichendorffstr Am Bisgeshof;6;Kaarst;0;6
11900;Dr. Wrobel;GRÜNE;Eichendorffstr Am Bisgeshof;6;Kaarst;0;6
6900;Boestfleisch;FDP;Eichendorffstr Am Bisgeshof;6;Kaarst;0;6
4200;Tückmantel;UWG Kaarst;Eichendorffstr Am Bisgeshof;6;Kaarst;0;6
2900;Schmitz;ZENTRUM;Eichendorffstr Am Bisgeshof;6;Kaarst;0;6
2900;Rosemann;DIE LINKE;Eichendorffstr Am Bisgeshof;6;Kaarst;1;6
1200;Saitzek;PIRATEN;Eichendorffstr Am Bisgeshof;6;Kaarst;0;6
44700;Kotzian;CDU;Windvogt Martinusstr;7;Kaarst;0;7
12400;Ekici;SPD;Windvogt Martinusstr;7;Kaarst;1;7
11200;Markert;GRÜNE;Windvogt Martinusstr;7;Kaarst;0;7
5700;Kischkat;FDP;Windvogt Martinusstr;7;Kaarst;0;7
1600;Bieker;UWG Kaarst;Windvogt Martinusstr;7;Kaarst;0;7
1900;Becht;ZENTRUM;Windvogt Martinusstr;7;Kaarst;0;7
1900;Ercan;DIE LINKE;Windvogt Martinusstr;7;Kaarst;0;7
3000;Fellowes;AfD;Windvogt Martinusstr;7;Kaarst;0;7
1300;Wetzler;PIRATEN;Windvogt Martinusstr;7;Kaarst;1;7
47600;Otterbein;CDU;Gruenstr Maubisstr;8;Kaarst;0;8
17000;Hartings;SPD;Gruenstr Maubisstr;8;Kaarst;1;8
11300;Neubauer;GRÜNE;Gruenstr Maubisstr;8;Kaarst;0;8
8900;Löhler;FDP;Gruenstr Maubisstr;8;Kaarst;0;8
3000;Heyer;UWG Kaarst;Gruenstr Maubisstr;8;Kaarst;0;8
2600;Hornby;ZENTRUM;Gruenstr Maubisstr;8;Kaarst;0;8
400;Rajda;DIE LINKE;Gruenstr Maubisstr;8;Kaarst;0;8
2100;Crefeld;AfD;Gruenstr Maubisstr;8;Kaarst;0;8
2200;Pauen;PIRATEN;Gruenstr Maubisstr;8;Kaarst;0;8
36300;Schulze Bomke-Vossschulte;CDU;Kampstr Lange Hecke;9;Kaarst;1;9
15400;Reuter;SPD;Kampstr Lange Hecke;9;Kaarst;0;9
10900;Molzberger;GRÜNE;Kampstr Lange Hecke;9;Kaarst;1;9
6200;Dr. Blechschmidt;FDP;Kampstr Lange Hecke;9;Kaarst;0;9
900;Klukas;UWG Kaarst;Kampstr Lange Hecke;9;Kaarst;0;9
2300;Schmitz;ZENTRUM;Kampstr Lange Hecke;9;Kaarst;0;9
1700;Hoffmann;DIE LINKE;Kampstr Lange Hecke;9;Kaarst;0;9
4600;Robertz;AfD;Kampstr Lange Hecke;9;Kaarst;0;9
1300;Dr. van Lück;PIRATEN;Kampstr Lange Hecke;9;Kaarst;0;9
40400;Finger;CDU;Rob Koch Str Hinterfeld;10;Kaarst;1;10
19600;Hartings;SPD;Rob Koch Str Hinterfeld;10;Kaarst;0;10
