,index,city,party_FDP_gn,seats_FDP_gn,seats_total,party_FDP_bn,seats_FDP_bn,party_CDU_gn,seats_CDU_gn,party_CDU_bn,seats_CDU_bn,party_SPD_gn,seats_SPD_gn,party_SPD_bn,seats_SPD_bn,party_Grüne_gn,seats_Grüne_gn,party_Grüne_bn,seats_Grüne_bn,party_AfD_gn,seats_AfD_gn,party_AfD_bn,seats_AfD_bn,party_Die Linke_gn,seats_Die Linke_gn,party_Die Linke_bn,seats_Die Linke_bn
0,0,Babenhausen,CDU,1,37,CDU,1,CDU,1,SPD,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1
1,1,Babenhausen,SPD,1,37,SPD,1,CDU,2,Grüne,1,SPD,1,Grüne,1,Grüne,1,SPD,1,SPD,1,SPD,1,SPD,1,SPD,1
2,2,Babenhausen,FDP,1,37,Grüne,1,SPD,1,CDU,1,CDU,2,CDU,2,SPD,1,CDU,2,CDU,2,CDU,2,CDU,2,CDU,2
3,3,Babenhausen,Grüne,1,37,CDU,2,CDU,3,FDP,1,SPD,2,FDP,1,CDU,2,FDP,1,Grüne,1,Grüne,1,Grüne,1,Grüne,1
4,4,Babenhausen,CDU,2,37,SPD,2,Grüne,1,SPD,2,Grüne,1,FW,1,FDP,1,Grüne,1,FDP,1,FDP,1,FDP,1,FDP,1
5,5,Babenhausen,FW,1,37,FW,1,FDP,1,FW,1,FDP,1,CDU,3,FW,1,FW,1,FW,1,FW,1,FW,1,FW,1
6,6,Babenhausen,SPD,2,37,CDU,3,FW,1,Grüne,2,FW,1,Grüne,2,Grüne,2,SPD,2,SPD,2,SPD,2,SPD,2,SPD,2
7,7,Babenhausen,FDP,2,37,SPD,3,CDU,4,CDU,2,CDU,3,CDU,4,SPD,2,CDU,3,CDU,3,CDU,3,CDU,3,CDU,3
8,8,Babenhausen,CDU,3,37,Grüne,2,SPD,2,SPD,3,SPD,3,SPD,1,CDU,3,CDU,4,CDU,4,CDU,4,CDU,4,CDU,4
9,9,Babenhausen,Grüne,2,37,CDU,4,CDU,5,FDP,2,CDU,4,FDP,2,Grüne,3,SPD,3,Grüne,2,Grüne,2,Grüne,2,Grüne,2
10,10,Babenhausen,SPD,3,37,CDU,5,CDU,6,Grüne,3,SPD,4,Grüne,3,CDU,4,FDP,2,SPD,3,SPD,3,SPD,3,SPD,3
11,11,Babenhausen,CDU,4,37,SPD,4,Grüne,2,SPD,4,Grüne,2,CDU,5,SPD,3,CDU,5,FDP,2,FDP,2,FDP,2,FDP,2
12,12,Babenhausen,FDP,3,37,FW,2,SPD,3,FW,2,FDP,2,FW,2,FDP,2,Grüne,2,CDU,5,CDU,5,CDU,5,CDU,5
13,13,Babenhausen,CDU,5,37,Grüne,3,CDU,7,CDU,3,CDU,5,CDU,6,CDU,5,FW,2,FW,2,FW,2,FW,2,FW,2
14,14,Babenhausen,FW,2,37,CDU,6,FDP,2,FDP,3,SPD,5,Grüne,4,FW,2,SPD,4,SPD,4,SPD,4,SPD,4,SPD,4
15,15,Babenhausen,SPD,4,37,SPD,5,FW,2,Grüne,4,FW,2,FDP,3,Grüne,4,CDU,6,CDU,6,CDU,6,CDU,6,CDU,6
16,16,Babenhausen,FDP,4,37,CDU,7,CDU,8,SPD,5,CDU,6,CDU,7,SPD,4,FDP,3,Grüne,3,Grüne,3,Grüne,3,Grüne,3
17,17,Babenhausen,Grüne,3,37,FDP,1,CDU,9,CDU,4,SPD,6,CDU,8,CDU,6,SPD,5,SPD,5,SPD,5,SPD,5,SPD,5
18,18,Babenhausen,CDU,6,37,SPD,6,Grüne,3,SPD,6,Grüne,3,Grüne,5,Grüne,5,CDU,7,CDU,7,CDU,7,CDU,7,CDU,7
19,19,Babenhausen,SPD,5,37,Grüne,4,SPD,4,FDP,4,FDP,3,SPD,2,FDP,3,Grüne,3,FDP,3,FDP,3,FDP,3,FDP,3
20,20,Babenhausen,FDP,5,37,CDU,8,CDU,10,Grüne,5,CDU,7,FW,3,CDU,7,FW,3,CDU,8,CDU,8,CDU,8,CDU,8
21,21,Babenhausen,CDU,7,37,FW,3,CDU,11,FW,3,SPD,7,CDU,9,SPD,5,CDU,8,Grüne,4,Grüne,4,Grüne,4,Grüne,4
22,22,Babenhausen,FW,3,37,SPD,7,FDP,3,CDU,5,FW,3,FDP,4,FW,3,SPD,6,FW,3,FW,3,FW,3,FW,3
23,23,Babenhausen,Grüne,4,37,CDU,9,SPD,5,SPD,7,CDU,8,Grüne,6,Grüne,6,FDP,4,SPD,6,SPD,6,SPD,6,SPD,6
24,24,Babenhausen,SPD,6,37,Grüne,5,FW,3,Grüne,6,SPD,8,CDU,10,CDU,8,CDU,9,CDU,9,CDU,9,CDU,9,CDU,9
25,25,Babenhausen,CDU,8,37,CDU,10,CDU,12,FDP,5,Grüne,4,CDU,11,SPD,6,SPD,7,FDP,4,FDP,4,FDP,4,FDP,4
26,26,Babenhausen,FDP,6,37,SPD,8,Grüne,4,SPD,8,CDU,9,Grüne,7,FDP,4,CDU,10,SPD,7,SPD,7,SPD,7,SPD,7
27,27,Babenhausen,CDU,9,37,CDU,11,CDU,13,FW,4,SPD,9,FDP,5,CDU,9,Grüne,4,CDU,10,CDU,10,CDU,10,CDU,10
28,28,Babenhausen,SPD,7,37,FW,4,SPD,6,CDU,6,FDP,4,FW,4,Grüne,7,FW,4,Grüne,5,Grüne,5,Grüne,5,Grüne,5
29,29,Babenhausen,Grüne,5,37,SPD,9,CDU,14,Grüne,7,CDU,10,CDU,12,CDU,10,SPD,8,CDU,11,CDU,11,CDU,11,CDU,11
30,30,Babenhausen,FDP,7,37,Grüne,6,CDU,15,SPD,9,SPD,10,SPD,3,SPD,7,FDP,5,FW,4,FW,4,FW,4,FW,4
31,31,Babenhausen,CDU,10,37,CDU,12,Grüne,5,FDP,6,FW,4,Grüne,8,FW,4,CDU,11,SPD,8,SPD,8,SPD,8,SPD,8
32,32,Babenhausen,FW,4,37,SPD,10,FDP,4,CDU,7,CDU,11,CDU,13,Grüne,8,CDU,12,FDP,5,FDP,5,FDP,5,FDP,5
33,33,Babenhausen,SPD,8,37,CDU,13,FW,4,Grüne,8,SPD,11,FDP,6,CDU,11,SPD,9,CDU,12,CDU,12,CDU,12,CDU,12
34,34,Babenhausen,CDU,11,37,Grüne,7,CDU,16,SPD,10,Grüne,5,CDU,14,FDP,5,Grüne,5,Grüne,6,Grüne,6,Grüne,6,Grüne,6
35,35,Babenhausen,FDP,8,37,SPD,11,SPD,7,FW,5,FDP,5,Grüne,9,SPD,8,FW,5,SPD,9,SPD,9,SPD,9,SPD,9
36,36,Babenhausen,Grüne,6,37,FW,5,CDU,17,FDP,7,CDU,12,FW,5,Grüne,9,CDU,13,CDU,13,CDU,13,CDU,13,CDU,13
37,0,Bad Hersfeld,FDP,1,45,SPD,1,CDU,1,SPD,1,SPD,1,CDU,1,SPD,1,SPD,1,SPD,1,SPD,1,SPD,1,SPD,1
38,1,Bad Hersfeld,SPD,1,45,CDU,1,SPD,1,FDP,1,FDP,1,FDP,1,FDP,1,FDP,1,FDP,1,FDP,1,FDP,1,FDP,1
39,2,Bad Hersfeld,CDU,1,45,SPD,2,FDP,1,Grüne,1,CDU,1,Grüne,1,Grüne,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1
40,3,Bad Hersfeld,FDP,2,45,Grüne,1,CDU,2,SPD,2,SPD,2,CDU,2,CDU,1,SPD,2,SPD,2,SPD,2,SPD,2,SPD,2
41,4,Bad Hersfeld,SPD,2,45,SPD,3,SPD,2,CDU,1,SPD,3,FDP,2,SPD,2,FW,1,Grüne,1,Grüne,1,Grüne,1,Grüne,1
42,5,Bad Hersfeld,Grüne,1,45,FW,1,Grüne,1,FDP,2,Grüne,1,FW,1,FW,1,FDP,2,FW,1,FW,1,Die Linke,1,FW,1
43,6,Bad Hersfeld,FW,1,45,CDU,2,FW,1,FW,1,FW,1,Grüne,2,FDP,2,UBH,1,FDP,2,FDP,2,FW,1,FDP,2
44,7,Bad Hersfeld,FDP,3,45,UBH,1,FDP,2,SPD,3,FDP,2,UBH,1,UBH,1,SPD,3,CDU,2,CDU,2,FDP,2,CDU,2
45,8,Bad Hersfeld,UBH,1,45,SPD,4,UBH,1,UBH,1,UBH,1,Die Linke,1,Grüne,2,CDU,2,UBH,1,UBH,1,CDU,2,UBH,1
46,9,Bad Hersfeld,SPD,3,45,Grüne,2,CDU,3,Grüne,2,CDU,2,CDU,3,CDU,2,Grüne,1,SPD,3,SPD,3,UBH,1,SPD,3
47,10,Bad Hersfeld,CDU,2,45,Die Linke,1,SPD,3,FDP,3,SPD,4,SPD,1,SPD,3,SPD,4,SPD,4,SPD,4,SPD,3,SPD,4
48,11,Bad Hersfeld,FDP,4,45,CDU,3,CDU,4,SPD,4,SPD,5,FDP,3,FDP,3,FDP,3,FDP,3,FDP,3,FDP,3,FDP,3
49,12,Bad Hersfeld,SPD,4,45,SPD,5,SPD,4,Die Linke,1,FDP,3,Grüne,3,SPD,4,Die Linke,1,Die Linke,1,Die Linke,1,SPD,4,CDU,3
50,13,Bad Hersfeld,Die Linke,1,45,SPD,6,Die Linke,1,SPD,5,Die Linke,1,CDU,4,Grüne,3,CDU,3,CDU,3,CDU,3,CDU,3,Grüne,2
51,14,Bad Hersfeld,Grüne,2,45,FW,2,FDP,3,CDU,2,CDU,3,FDP,4,Die Linke,1,SPD,5,Grüne,2,Grüne,2,Grüne,2,SPD,5
52,15,Bad Hersfeld,FDP,5,45,CDU,4,Grüne,2,FDP,4,SPD,6,FW,2,CDU,3,FW,2,SPD,5,SPD,5,Die Linke,2,FW,2
53,16,Bad Hersfeld,CDU,3,45,UBH,2,CDU,5,FW,2,Grüne,2,Grüne,4,FW,2,FDP,4,FW,2,FW,2,SPD,5,FDP,4
54,17,Bad Hersfeld,SPD,5,45,SPD,7,SPD,5,Grüne,3,FW,2,UBH,2,SPD,5,UBH,2,FDP,4,FDP,4,FW,2,CDU,4
55,18,Bad Hersfeld,FW,2,45,Grüne,3,FW,2,SPD,6,FDP,4,CDU,5,FDP,4,SPD,6,CDU,4,CDU,4,FDP,4,UBH,2
56,19,Bad Hersfeld,FDP,6,45,SPD,8,FDP,4,UBH,2,SPD,7,FDP,5,UBH,2,CDU,4,UBH,2,UBH,2,CDU,4,SPD,6
57,20,Bad Hersfeld,UBH,2,45,CDU,5,UBH,2,FDP,5,UBH,2,Die Linke,2,Grüne,4,Grüne,2,SPD,6,SPD,6,UBH,2,FDP,5
58,21,Bad Hersfeld,SPD,6,45,SPD,9,CDU,6,SPD,7,CDU,4,Grüne,5,CDU,4,FDP,5,Grüne,3,Grüne,3,SPD,6,SPD,7
59,22,Bad Hersfeld,FDP,7,45,Grüne,4,SPD,6,CDU,3,SPD,8,CDU,6,SPD,6,SPD,7,FDP,5,FDP,5,FDP,5,CDU,5
60,23,Bad Hersfeld,CDU,4,45,FW,3,Grüne,3,Grüne,4,FDP,5,SPD,2,FDP,5,CDU,5,SPD,7,SPD,7,CDU,5,Grüne,3
61,24,Bad Hersfeld,Grüne,3,45,Die Linke,2,CDU,7,FDP,6,SPD,9,FDP,6,Grüne,5,FW,3,CDU,5,CDU,5,SPD,7,SPD,8
62,25,Bad Hersfeld,SPD,7,45,CDU,6,FDP,5,SPD,8,CDU,5,FW,3,SPD,7,SPD,8,SPD,8,SPD,8,Grüne,3,FW,3
63,26,Bad Hersfeld,FDP,8,45,SPD,10,SPD,7,FW,3,SPD,10,Grüne,6,CDU,5,FDP,6,FW,3,FW,3,Die Linke,3,FDP,6
64,27,Bad Hersfeld,FW,3,45,UBH,3,FW,3,Die Linke,2,Grüne,3,CDU,7,FW,3,UBH,3,FDP,6,FDP,6,FW,3,CDU,6
65,28,Bad Hersfeld,SPD,8,45,SPD,11,CDU,8,SPD,9,FW,3,UBH,3,FDP,6,Die Linke,2,Die Linke,2,Die Linke,2,FDP,6,UBH,3
66,29,Bad Hersfeld,CDU,5,45,FDP,1,SPD,8,UBH,3,FDP,6,FDP,7,SPD,8,SPD,9,CDU,6,CDU,6,SPD,8,SPD,9
67,30,Bad Hersfeld,Die Linke,2,45,CDU,7,Die Linke,2,FDP,7,Die Linke,2,Grüne,7,UBH,3,CDU,6,UBH,3,UBH,3,CDU,6,FDP,7
68,31,Bad Hersfeld,FDP,9,45,Grüne,5,FDP,6,Grüne,5,SPD,11,CDU,8,Grüne,6,Grüne,3,SPD,9,SPD,9,UBH,3,Grüne,4
69,32,Bad Hersfeld,UBH,3,45,SPD,12,UBH,3,SPD,10,UBH,3,Die Linke,3,Die Linke,2,FDP,7,Grüne,4,Grüne,4,SPD,9,CDU,7
70,33,Bad Hersfeld,Grüne,4,45,FW,4,CDU,9,CDU,4,CDU,6,FDP,8,CDU,6,SPD,10,FDP,7,FDP,7,FDP,7,SPD,10
71,34,Bad Hersfeld,SPD,9,45,SPD,13,Grüne,4,FDP,8,SPD,12,FW,4,FDP,7,FW,4,CDU,7,CDU,7,Grüne,4,Die Linke,1
72,35,Bad Hersfeld,FDP,10,45,CDU,8,SPD,9,SPD,11,FDP,7,CDU,9,SPD,9,FDP,8,SPD,10,SPD,10,CDU,7,FW,4
73,36,Bad Hersfeld,CDU,6,45,UBH,4,CDU,10,FW,4,SPD,13,Grüne,8,Grüne,7,CDU,7,FW,4,FW,4,Die Linke,4,SPD,11
74,37,Bad Hersfeld,SPD,10,45,SPD,14,FDP,7,Grüne,6,CDU,7,SPD,3,FW,4,SPD,11,SPD,11,SPD,11,SPD,10,FDP,8
75,38,Bad Hersfeld,FDP,11,45,Grüne,6,SPD,10,FDP,9,Grüne,4,FDP,9,SPD,10,UBH,4,FDP,8,FDP,8,FW,4,CDU,8
76,39,Bad Hersfeld,FW,4,45,Die Linke,3,FW,4,SPD,12,FW,4,UBH,4,CDU,7,SPD,12,CDU,8,CDU,8,FDP,8,UBH,4
77,40,Bad Hersfeld,SPD,11,45,CDU,9,CDU,11,UBH,4,FDP,8,CDU,10,FDP,8,FDP,9,Grüne,5,Grüne,5,SPD,11,SPD,12
78,41,Bad Hersfeld,FDP,12,45,SPD,15,FDP,8,Die Linke,3,SPD,14,Grüne,9,UBH,4,CDU,8,UBH,4,UBH,4,CDU,8,Grüne,5
79,42,Bad Hersfeld,Grüne,5,45,FW,5,Grüne,5,SPD,13,UBH,4,FDP,10,Grüne,8,Grüne,4,SPD,12,SPD,12,UBH,4,FDP,9
80,43,Bad Hersfeld,UBH,4,45,SPD,16,UBH,4,CDU,5,SPD,15,FW,5,SPD,11,SPD,13,FDP,9,FDP,9,Grüne,5,CDU,9
81,44,Bad Hersfeld,CDU,7,45,CDU,10,SPD,11,FDP,10,CDU,8,Die Linke,4,CDU,8,FW,5,Die Linke,3,Die Linke,3,FDP,9,SPD,13
82,0,Bad Nauheim,CDU,1,45,CDU,1,CDU,1,Grüne,1,CDU,1,CDU,1,Grüne,1,CDU,1,CDU,1,CDU,1,CDU,1,CDU,1
83,1,Bad Nauheim,Grüne,1,45,Grüne,1,CDU,2,SPD,1,SPD,1,Grüne,1,CDU,1,SPD,1,Grüne,1,Grüne,1,Grüne,1,Grüne,1
84,2,Bad Nauheim,FDP,1,45,SPD,1,Grüne,1,CDU,1,Grüne,1,CDU,2,SPD,1,FW,1,SPD,1,SPD,1,SPD,1,SPD,1
85,3,Bad Nauheim,SPD,1,45,CDU,2,CDU,3,FDP,1,CDU,2,Grüne,2,Grüne,2,FDP,1,CDU,2,CDU,2,CDU,2,CDU,2
86,4,Bad Nauheim,CDU,2,45,FW,1,FW,1,FW,1,FW,1,FDP,1,CDU,2,CDU,2,FW,1,FW,1,FW,1,FW,1
87,5,Bad Nauheim,FW,1,45,Grüne,2,CDU,4,Grüne,2,FDP,1,FW,1,FW,1,Grüne,1,FDP,1,FDP,1,FDP,1,FDP,1
88,6,Bad Nauheim,Grüne,2,45,SPD,2,SPD,1,SPD,2,SPD,2,CDU,3,FDP,1,SPD,2,Grüne,2,Grüne,2,Grüne,2,Grüne,2
89,7,Bad Nauheim,FDP,2,45,CDU,3,CDU,5,CDU,2,Grüne,2,Grüne,3,Grüne,3,CDU,3,CDU,3,CDU,3,CDU,3,CDU,3
90,8,Bad Nauheim,CDU,3,45,Grüne,3,Grüne,2,Grüne,3,CDU,3,CDU,4,CDU,3,FW,2,SPD,2,SPD,2,SPD,2,SPD,2
91,9,Bad Nauheim,SPD,2,45,CDU,4,FDP,1,FDP,2,SPD,3,Grüne,4,SPD,2,FDP,2,CDU,4,CDU,4,CDU,4,CDU,4
92,10,Bad Nauheim,Grüne,3,45,SPD,3,CDU,6,FW,2,CDU,4,FDP,2,Grüne,4,CDU,4,Grüne,3,Grüne,3,Grüne,3,Grüne,3
93,11,Bad Nauheim,FDP,3,45,FW,2,CDU,7,SPD,3,Grüne,3,FW,2,CDU,4,Grüne,2,FW,2,FW,2,FW,2,FW,2
94,12,Bad Nauheim,CDU,4,45,CDU,5,Grüne,3,Grüne,4,FW,2,CDU,5,FW,2,SPD,3,FDP,2,FDP,2,FDP,2,FDP,2
95,13,Bad Nauheim,FW,2,45,Grüne,4,FW,2,CDU,3,FDP,2,Grüne,5,FDP,2,CDU,5,SPD,3,SPD,3,SPD,3,SPD,3
96,14,Bad Nauheim,SPD,3,45,SPD,4,CDU,8,Grüne,5,SPD,4,CDU,6,Grüne,5,FW,3,CDU,5,CDU,5,CDU,5,CDU,5
97,15,Bad Nauheim,CDU,5,45,CDU,6,SPD,2,FDP,3,CDU,5,CDU,7,CDU,5,FDP,3,Grüne,4,Grüne,4,Grüne,4,Grüne,4
98,16,Bad Nauheim,Grüne,4,45,Grüne,5,CDU,9,SPD,4,Grüne,4,Grüne,6,SPD,3,SPD,4,CDU,6,CDU,6,CDU,6,CDU,6
99,17,Bad Nauheim,FDP,4,45,FW,3,CDU,10,CDU,4,SPD,5,FDP,3,Grüne,6,CDU,6,SPD,4,SPD,4,SPD,4,SPD,4
100,18,Bad Nauheim,CDU,6,45,SPD,5,Grüne,4,FW,3,CDU,6,FW,3,CDU,6,Grüne,3,FW,3,FW,3,FW,3,FW,3
101,19,Bad Nauheim,FW,3,45,CDU,7,FDP,2,Grüne,6,FW,3,CDU,8,FW,3,CDU,7,Grüne,5,Grüne,5,Grüne,5,Grüne,5
102,20,Bad Nauheim,SPD,4,45,Grüne,6,CDU,11,SPD,5,FDP,3,Grüne,7,Grüne,7,FW,4,CDU,7,CDU,7,CDU,7,CDU,7
103,21,Bad Nauheim,Grüne,5,45,CDU,8,FW,3,FDP,4,CDU,7,CDU,9,FDP,3,SPD,5,FDP,3,FDP,3,FDP,3,FDP,3
104,22,Bad Nauheim,FDP,5,45,SPD,6,CDU,12,CDU,5,SPD,6,Grüne,8,CDU,7,FDP,4,CDU,8,CDU,8,CDU,8,CDU,8
105,23,Bad Nauheim,CDU,7,45,CDU,9,SPD,3,Grüne,7,Grüne,5,FDP,4,SPD,4,CDU,8,SPD,5,SPD,5,SPD,5,SPD,5
106,24,Bad Nauheim,Grüne,6,45,FW,4,Grüne,5,FW,4,CDU,8,FW,4,Grüne,8,Grüne,4,Grüne,6,Grüne,6,Grüne,6,Grüne,6
107,25,Bad Nauheim,SPD,5,45,Grüne,7,CDU,13,SPD,6,SPD,7,CDU,10,CDU,8,SPD,6,CDU,9,CDU,9,CDU,9,CDU,9
108,26,Bad Nauheim,FDP,6,45,SPD,7,CDU,14,Grüne,8,Grüne,6,Grüne,9,FW,4,CDU,9,FW,4,FW,4,FW,4,FW,4
109,27,Bad Nauheim,CDU,8,45,CDU,10,CDU,15,CDU,6,FW,4,CDU,11,Grüne,9,FW,5,FDP,4,FDP,4,FDP,4,FDP,4
110,28,Bad Nauheim,FW,4,45,Grüne,8,Grüne,6,FDP,5,CDU,9,Grüne,10,FDP,4,FDP,5,SPD,6,SPD,6,SPD,6,SPD,6
111,29,Bad Nauheim,Grüne,7,45,SPD,8,FW,4,SPD,7,FDP,4,FDP,5,SPD,5,CDU,10,Grüne,7,Grüne,7,Grüne,7,Grüne,7
112,30,Bad Nauheim,CDU,9,45,CDU,11,CDU,16,Grüne,9,SPD,8,CDU,12,CDU,9,Grüne,5,CDU,10,CDU,10,CDU,10,CDU,10
