candidate;party;votes;percent;year;city;runoff;support;job;year_birth;born_city;;incumbent;male;mig_background;population;pop_density;area_industry_pc;area_agricul_pc;area_forest_pc;male;female;unter 15;15-18;18-25;25-40;40-65;65 u.mehr;workers_agricul;workers_manu;workers_service;unemployed;health_care_receivers;asylum_claims;kom_wahl_cdu;kom_wahl_spd;kom_wahl_grüne;kom_wahl_fdp;kom_wahl_afd;kom_wahl_linke;btw_erststimme_pc;disp_income;investment_p_worker;numb_new_flat_allowed;new_flat_sqm_allowed;visits_total;visits_foreigner;feinstaub;rile;lastname_background_density;umfrage
Ingo Wellenreuther ;CDU;32.430;35,40;2012;Karlsruhe;0;CDU;MdB;1959;1;Karlsruhe;0;1;0;296.033;1.707;9,9;22,7;25,7;148.401;147.632;35.724;7.147;32.147;67.789;97.691;55.535;0.9;90.8;397.9;8.423;7.911;133;28,2;19,6;20,1;12,6;0;0;28,6;7.803;8.565;558;50.627;1.006.344;253.507;100,9;3;Germany;0,43
Friedemann Kalmbach ;GfK;4.090;4,46;2012;Karlsruhe;0;GfK;Lehrer;1953;0;.;0;1;0;296.033;1.707;9,9;22,7;25,7;148.401;147.632;35.724;7.147;32.147;67.789;97.691;55.535;0.9;90.8;397.9;8.423;7.911;133;28,2;19,6;20,1;12,6;0;0;0;7.803;8.565;558;50.627;1.006.344;253.507;100,9;0;Germany;0,05
Sascha Toni Oehme;;363;0,40;2012;Karlsruhe;0;;Logistikmeister;1963;0;Eggenstein;0;1;0;296.033;1.707;9,9;22,7;25,7;148.401;147.632;35.724;7.147;32.147;67.789;97.691;55.535;0.9;90.8;397.9;8.423;7.911;133;28,2;19,6;20,1;12,6;0;0;;7.803;8.565;558;50.627;1.006.344;253.507;100,9;0;Germany;0,00
Frank Mentrup ;SPD;50.615;55,25;2012;Karlsruhe;0;SPD, GRÜNE, Piraten, KAL;MdL;1964;0;Mannheim;0;1;0;296.033;1.707;9,9;22,7;25,7;148.401;147.632;35.724;7.147;32.147;67.789;97.691;55.535;0.9;90.8;397.9;8.423;7.911;133;28,2;19,6;20,1;12,6;0;0;20,6;7.803;8.565;558;50.627;1.006.344;253.507;100,9;-24;Germany;0,47
Niko Fostiropoulos ;Linke;2.164;2,36;2012;Karlsruhe;0;Linke;Architekt;1958;0;Griechenland;0;1;1;296.033;1.707;9,9;22,7;25,7;148.401;147.632;35.724;7.147;32.147;67.789;97.691;55.535;0.9;90.8;397.9;8.423;7.911;133;28,2;19,6;20,1;12,6;0;0;8,3;7.803;8.565;558;50.627;1.006.344;253.507;100,9;-35;Greece;0,05
Jürgen Wenzel ;FW;1.397;1,52;2012;Karlsruhe;0;FW;Kaufmann;1962;1;Karlsruhe;0;1;0;296.033;1.707;9,9;22,7;25,7;148.401;147.632;35.724;7.147;32.147;67.789;97.691;55.535;0.9;90.8;397.9;8.423;7.911;133;28,2;19,6;20,1;12,6;0;0;;7.803;8.565;558;50.627;1.006.344;253.507;100,9;14;Germany;0,01
Michael Böhm;;405;0,44;2012;Karlsruhe;0;;Lebenskünstler;1972;0;Lauffen;0;1;0;296.033;1.707;9,9;22,7;25,7;148.401;147.632;35.724;7.147;32.147;67.789;97.691;55.535;0.9;90.8;397.9;8.423;7.911;133;28,2;19,6;20,1;12,6;0;0;;7.803;8.565;558;50.627;1.006.344;253.507;100,9;0;Austria;0,00
Heinz Fenrich ;CDU;34.558;55,50;2006;Karlsruhe;0;CDU;OB;1945;0;Unteröwisheim;1;0;0;286.327;1.651;9,8;24,4;25,9;141.346;144.981;35.806;7.619;24.223;67.109;95.891;55.679;0.9;90.8;397.9;12.490;7.378;150;37,2;23,8;16,6;0;0;0;32,9;6.830;7.749;948;94.104;803.464;174.092;146;26;Canada;
Ute Müllerschön ;SPD;15.491;24,90;2006;Karlsruhe;0;SPD;Landwirtin;1952;0;Westfalen;0;1;0;286.327;1.651;9,8;24,4;25,9;141.346;144.981;35.806;7.619;24.223;67.109;95.891;55.679;0.9;90.8;397.9;12.490;7.378;150;37,2;23,8;16,6;0;0;0;32,1;6.830;7.749;948;94.104;803.464;174.092;146;-2;Germany;
Klaus Stapf ;GRÜNE;5.278;8,50;2006;Karlsruhe;0;GRÜNE;Betriebsrat;1959;1;Karlsruhe;0;1;0;286.327;1.651;9,8;24,4;25,9;141.346;144.981;35.806;7.619;24.223;67.109;95.891;55.679;0.9;90.8;397.9;12.490;7.378;150;37,2;23,8;16,6;0;0;0;14,7;6.830;7.749;948;94.104;803.464;174.092;146;-10;Germany;
