,Stimmen,Prozent,Name,Partei,Wahlbezirk_Location,Wahlbezirk,Jahr,Stadt
1,398,"41,42 %",Graber,CDU,FlachsbleicheSperberstr,FlachsbleicheSperberstr,2014,Kaarst
2,228,"23,73 %",Kühl,SPD,FlachsbleicheSperberstr,FlachsbleicheSperberstr,2014,Kaarst
3,104,"10,82 %",Link-Schnitzler,GRÜNE,FlachsbleicheSperberstr,FlachsbleicheSperberstr,2014,Kaarst
4,55,"5,72 %",Zachel,FDP,FlachsbleicheSperberstr,FlachsbleicheSperberstr,2014,Kaarst
5,36,"3,75 %",Kraft,UWG Kaarst,FlachsbleicheSperberstr,FlachsbleicheSperberstr,2014,Kaarst
6,25,"2,60 %",Theberath,ZENTRUM,FlachsbleicheSperberstr,FlachsbleicheSperberstr,2014,Kaarst
7,47,"4,89 %",Altinli,DIE LINKE,FlachsbleicheSperberstr,FlachsbleicheSperberstr,2014,Kaarst
8,44,"4,58 %",Rausch,AfD,FlachsbleicheSperberstr,FlachsbleicheSperberstr,2014,Kaarst
9,24,"2,50 %",Friedländer,PIRATEN,FlachsbleicheSperberstr,FlachsbleicheSperberstr,2014,Kaarst
10,495,"53,40 %",Treger,CDU,Karlsforster_StrJahnstr,Karlsforster_StrJahnstr,2014,Kaarst
11,156,"16,83 %",Palmen,SPD,Karlsforster_StrJahnstr,Karlsforster_StrJahnstr,2014,Kaarst
12,153,"16,50 %",Jens,GRÜNE,Karlsforster_StrJahnstr,Karlsforster_StrJahnstr,2014,Kaarst
13,62,"6,69 %",Zhang,FDP,Karlsforster_StrJahnstr,Karlsforster_StrJahnstr,2014,Kaarst
14,28,"3,02 %",Zippelius,UWG Kaarst,Karlsforster_StrJahnstr,Karlsforster_StrJahnstr,2014,Kaarst
15,18,"1,94 %",Sohn,ZENTRUM,Karlsforster_StrJahnstr,Karlsforster_StrJahnstr,2014,Kaarst
16,15,"1,62 %",Pauen,PIRATEN,Karlsforster_StrJahnstr,Karlsforster_StrJahnstr,2014,Kaarst
17,352,"47,50 %",Thönißen,CDU,Altes_Dorf,Altes_Dorf,2014,Kaarst
18,129,"17,41 %",Lempke,SPD,Altes_Dorf,Altes_Dorf,2014,Kaarst
19,83,"11,20 %",Köppe,GRÜNE,Altes_Dorf,Altes_Dorf,2014,Kaarst
20,58,"7,83 %",Ramirez Ziegler,FDP,Altes_Dorf,Altes_Dorf,2014,Kaarst
21,20,"2,70 %",Klukas,UWG Kaarst,Altes_Dorf,Altes_Dorf,2014,Kaarst
22,34,"4,59 %",Hebben,ZENTRUM,Altes_Dorf,Altes_Dorf,2014,Kaarst
23,25,"3,37 %",Altunlu,DIE LINKE,Altes_Dorf,Altes_Dorf,2014,Kaarst
24,24,"3,24 %",Peter,AfD,Altes_Dorf,Altes_Dorf,2014,Kaarst
25,16,"2,16 %",Specht,PIRATEN,Altes_Dorf,Altes_Dorf,2014,Kaarst
26,383,"51,20 %",Zelleröhr,CDU,BroicherseiteAm_Hoverkamp,BroicherseiteAm_Hoverkamp,2014,Kaarst
27,152,"20,32 %",Kuhlmeier,SPD,BroicherseiteAm_Hoverkamp,BroicherseiteAm_Hoverkamp,2014,Kaarst
28,67,"8,96 %",Wieland,GRÜNE,BroicherseiteAm_Hoverkamp,BroicherseiteAm_Hoverkamp,2014,Kaarst
29,40,"5,35 %",Dr. Thywissen,FDP,BroicherseiteAm_Hoverkamp,BroicherseiteAm_Hoverkamp,2014,Kaarst
30,16,"2,14 %",Dr. Klukas,UWG Kaarst,BroicherseiteAm_Hoverkamp,BroicherseiteAm_Hoverkamp,2014,Kaarst
31,14,"1,87 %",Mönch,ZENTRUM,BroicherseiteAm_Hoverkamp,BroicherseiteAm_Hoverkamp,2014,Kaarst
32,23,"3,07 %",Brunstein,DIE LINKE,BroicherseiteAm_Hoverkamp,BroicherseiteAm_Hoverkamp,2014,Kaarst
33,31,"4,14 %",Peter,AfD,BroicherseiteAm_Hoverkamp,BroicherseiteAm_Hoverkamp,2014,Kaarst
34,22,"2,94 %",Skopp,PIRATEN,BroicherseiteAm_Hoverkamp,BroicherseiteAm_Hoverkamp,2014,Kaarst
35,392,"42,98 %",Sülzenfuß,CDU,Broicherdorf,Broicherdorf,2014,Kaarst
36,193,"21,16 %",Jakob,SPD,Broicherdorf,Broicherdorf,2014,Kaarst
37,115,"12,61 %",Christoph,GRÜNE,Broicherdorf,Broicherdorf,2014,Kaarst
38,57,"6,25 %",Vogel,FDP,Broicherdorf,Broicherdorf,2014,Kaarst
39,34,"3,73 %",Zippelius,UWG Kaarst,Broicherdorf,Broicherdorf,2014,Kaarst
40,20,"2,19 %",Pfaar,ZENTRUM,Broicherdorf,Broicherdorf,2014,Kaarst
41,39,"4,28 %",Keser,DIE LINKE,Broicherdorf,Broicherdorf,2014,Kaarst
42,45,"4,93 %",Straus,AfD,Broicherdorf,Broicherdorf,2014,Kaarst
43,17,"1,86 %",Eibich,PIRATEN,Broicherdorf,Broicherdorf,2014,Kaarst
44,388,"46,97 %",Ladeck,CDU,EichendorffstrAm_Bisgeshof,EichendorffstrAm_Bisgeshof,2014,Kaarst
45,138,"16,71 %",Kühl,SPD,EichendorffstrAm_Bisgeshof,EichendorffstrAm_Bisgeshof,2014,Kaarst
46,119,"14,41 %",Dr. Wrobel,GRÜNE,EichendorffstrAm_Bisgeshof,EichendorffstrAm_Bisgeshof,2014,Kaarst
47,69,"8,35 %",Boestfleisch,FDP,EichendorffstrAm_Bisgeshof,EichendorffstrAm_Bisgeshof,2014,Kaarst
48,42,"5,08 %",Tückmantel,UWG Kaarst,EichendorffstrAm_Bisgeshof,EichendorffstrAm_Bisgeshof,2014,Kaarst
49,29,"3,51 %",Schmitz,ZENTRUM,EichendorffstrAm_Bisgeshof,EichendorffstrAm_Bisgeshof,2014,Kaarst
50,29,"3,51 %",Rosemann,DIE LINKE,EichendorffstrAm_Bisgeshof,EichendorffstrAm_Bisgeshof,2014,Kaarst
51,12,"1,45 %",Saitzek,PIRATEN,EichendorffstrAm_Bisgeshof,EichendorffstrAm_Bisgeshof,2014,Kaarst
52,447,"53,41 %",Kotzian,CDU,WindvogtMartinusstr,WindvogtMartinusstr,2014,Kaarst
53,124,"14,81 %",Ekici,SPD,WindvogtMartinusstr,WindvogtMartinusstr,2014,Kaarst
54,112,"13,38 %",Markert,GRÜNE,WindvogtMartinusstr,WindvogtMartinusstr,2014,Kaarst
55,57,"6,81 %",Kischkat,FDP,WindvogtMartinusstr,WindvogtMartinusstr,2014,Kaarst
56,16,"1,91 %",Bieker,UWG Kaarst,WindvogtMartinusstr,WindvogtMartinusstr,2014,Kaarst
57,19,"2,27 %",Becht,ZENTRUM,WindvogtMartinusstr,WindvogtMartinusstr,2014,Kaarst
58,19,"2,27 %",Ercan,DIE LINKE,WindvogtMartinusstr,WindvogtMartinusstr,2014,Kaarst
59,30,"3,58 %",Fellowes,AfD,WindvogtMartinusstr,WindvogtMartinusstr,2014,Kaarst
60,13,"1,55 %",Wetzler,PIRATEN,WindvogtMartinusstr,WindvogtMartinusstr,2014,Kaarst
